SCALERANK,NAME,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,LATITUDE,LONGITUDE,POP_MAX,POP_MIN
10,Salamá,Guatemala,GTM,Guatemala,GTM,Baja Verapaz,GT,15.10299903,-90.31400061,40000,40000
10,Cuilapa,Guatemala,GTM,Guatemala,GTM,Santa Rosa,GT,14.27900409,-90.2979985,16484,16484
2,St. Louis,United States,USA,United States of America,USA,Missouri,US,38.63501772,-90.23998051,2199000,320916
3,Jackson,United States,USA,United States of America,USA,Mississippi,US,32.29881533,-90.18499679,250902,176696
7,Alton,United States,USA,United States of America,USA,Illinois,US,38.89099693,-90.18422164,84276,30496
8,Ironwood,United States,USA,United States of America,USA,Michigan,US,46.4558065,-90.15939112,7064,5736
8,Metairie,United States,USA,United States of America,USA,Louisiana,US,29.98386619,-90.15277653,394206,146136
7,La Libertad,Guatemala,GTM,Guatemala,GTM,Petén,GT,16.78043439,-90.11998784,8646,8523
8,Halachó,Mexico,MEX,Mexico,MEX,Yucatán,MX,20.47997601,-90.08001612,9165,7067
2,New Orleans,United States,USA,United States of America,USA,Louisiana,US,29.99500246,-90.03996688,785000,269857
10,El Progreso,Guatemala,GTM,Guatemala,GTM,El Progreso,GT,14.85,-90.01670359,147197,147197
8,Southaven,United States,USA,United States of America,USA,Mississippi,US,34.96891075,-90.00345748,121268,38578
7,Belleville,United States,USA,United States of America,USA,Illinois,US,38.52515362,-90.0002277,143900,40919
3,Memphis,United States,USA,United States of America,USA,Tennessee,US,35.1199868,-89.99999516,1081000,426687
10,Jalapa,Guatemala,GTM,Guatemala,GTM,Jalapa,GT,14.63300111,-89.98900162,45834,45834
8,Jutiapa,Guatemala,GTM,Guatemala,GTM,Jutiapa,GT,14.28999208,-89.90000126,50681,34332
7,Flores,Guatemala,GTM,Guatemala,GTM,Petén,GT,16.93368085,-89.88328394,38035,20464
8,Big Beaver House,Canada,CAN,Canada,CAN,Ontario,CA,52.94998374,-89.88328394,10,10
10,Ahuachapán,El Salvador,SLV,El Salvador,SLV,Ahuachapán,SV,13.91900399,-89.84500155,34102,34102
8,Barlett,United States,USA,United States of America,USA,Tennessee,US,35.22290041,-89.84109013,286423,43264
8,Slidell,United States,USA,United States of America,USA,Louisiana,US,30.27495953,-89.78109379,84239,27799
8,Sonsonate,El Salvador,SLV,El Salvador,SLV,Sonsonate,SV,13.7199752,-89.7299858,168947,110501
6,Peoria,United States,USA,United States of America,USA,Illinois,US,40.69998212,-89.67004114,172308,112936
6,Progreso,Mexico,MEX,Mexico,MEX,Yucatán,MX,21.28331199,-89.66657882,47124,20661
6,Springfield,United States,USA,United States of America,USA,Illinois,US,39.82000999,-89.65001652,134715,115975
6,Wausau,United States,USA,United States of America,USA,Wisconsin,US,44.95915367,-89.6299919,75422,36779
3,Mérida,Mexico,MEX,Mexico,MEX,Yucatán,MX,20.96663881,-89.61663355,965000,717175
7,Santa Ana,El Salvador,SLV,El Salvador,SLV,Santa Ana,SV,13.9946096,-89.55976363,234478,176661
10,Chiquimula,Guatemala,GTM,Guatemala,GTM,Chiquimula,GT,14.79699906,-89.54399653,41521,41521
7,Ticul,Mexico,MEX,Mexico,MEX,Yucatán,MX,20.40039431,-89.53002385,30519,30282
10,Zacapa,Guatemala,GTM,Guatemala,GTM,Zacapa,GT,14.97200398,-89.52900256,36088,36088
8,Cape Girardeau,United States,USA,United States of America,USA,Illinois,US,37.30582237,-89.51808659,40427,35904
8,San Luis,Guatemala,GTM,Guatemala,GTM,Petén,GT,16.2000047,-89.4400035,132470,6776
7,Rhinelander,United States,USA,United States of America,USA,Wisconsin,US,45.63991315,-89.41207239,11483,7783
6,Madison,United States,USA,United States of America,USA,Wisconsin,US,43.07301556,-89.40111699,327447,224625
7,Hattiesburg,United States,USA,United States of America,USA,Mississippi,US,31.32727256,-89.2902452,58874,48123
10,Nueva San Salvador,El Salvador,SLV,El Salvador,SLV,La Libertad,SV,13.67399699,-89.28999848,124694,124694
8,Tekax,Mexico,MEX,Mexico,MEX,Yucatán,MX,20.1999931,-89.27998743,22806,18348
8,Motul,Mexico,MEX,Mexico,MEX,Yucatán,MX,21.09998985,-89.27998743,21253,21109
